workSize, blocksize, reg_test, AntiReg, Fmul, AntiRegFmul
1048576,32,0.274080,0.363520,0.218208,1.140416
1048576,64,0.227488,0.242624,0.136128,0.660416
1048576,128,0.230368,0.233600,0.115744,0.404832
1048704,192,0.226976,0.237152,0.117472,0.430496
1048576,256,0.313920,0.317568,0.143552,0.554048
1048576,512,0.306592,0.309664,0.145536,0.556960
1048576,1024,0.264640,0.247808,0.129472,0.438080

